id,name,source,prescription_required,retail_price,discounted_price,manufacturer,packaging_form,salts,quantity_num,cluster
source_6-75716,dolo 1gm tablet,source_6,False,45.58,40.11,micro labs,STRIP,paracetamol acetaminophen 1 0 g,10.0,30
source_2-39579,dolo 1000mg infusion,source_2,True,268.0,219.76,micro labs ltd,Unknown,paracetamol acetaminophen 1000mg,19.0,30
source_7-90343,dolo 1000mg tablet,source_7,False,45.58,35.1,micro labs ltd,Unknown,paracetamol 1000mg,10.0,30
source_1-65076,dolo 1000 mg tablet 10,source_1,True,45.5,40.0,micro labs ltd,Strip | Tablet,paracetamol 1000mg,10.0,30
source_1-65077,dolo 120 mg suspension 60 ml,source_1,False,40.0,35.2,micro labs ltd,Bottle | Suspension,paracetamol 120mg,60.0,30
source_6-75717,dolo 120mg suspension 60ml,source_6,False,40.32,34.27,micro labs,BOTTLE,paracetamol acetaminophen 120 0 mg 5ml,60.0,30
source_2-39580,dolo 120 suspension,source_2,True,34.94,28.65,micro labs ltd,Unknown,paracetamol acetaminophen 120mg 5ml,18.8,30
source_3-2151,dolo 156mg syp 60ml,source_3,False,51.0,43.35,micro labs ltd,Bottle SYRUP,paracetamol acetaminophen 156 25 mg 5ml,60.0,30
source_7-90345,dolo 156 25mg suspension,source_7,False,56.0,49.6,micro labs ltd,Unknown,paracetamol 156 25mg 5ml,60.0,30
source_1-65079,dolo 156 25 mg syrup 60 ml,source_1,False,56.0,49.3,micro labs ltd,Bottle | Syrup,paracetamol 156 25mg,60.0,30
source_6-75718,dolo 250mg suspension 60ml,source_6,False,45.02,39.62,micro labs,BOTTLE,paracetamol acetaminophen 250 0 mg,60.0,30
source_3-2152,dolo 250mg syp 60ml,source_3,False,45.02,38.27,micro labs ltd,Bottle SYRUP,paracetamol acetaminophen 250 mg 5ml,60.0,30
source_7-90346,dolo 250 oral suspension,source_7,False,45.02,34.2,micro labs ltd,Unknown,paracetamol 250mg 5ml,60.0,30
source_1-65080,dolo 250 suspension 100 ml,source_1,False,75.0,66.0,micro labs ltd,Bottle | Suspension,paracetamol 250mg,100.0,30
source_1-65081,dolo 250 suspension 60 ml,source_1,False,45.0,39.6,micro labs ltd,Bottle | Suspension,paracetamol 250mg,60.0,30
source_6-75719,dolo 500mg strip 10 tablet,source_6,False,13.58,13.58,micro labs,STRIP,paracetamol acetaminophen 500 0 mg,10.0,30
source_6-75720,dolo 500mg strip 15 tablet,source_6,False,14.95,13.16,micro labs,STRIP,paracetamol acetaminophen 500 0 mg,15.0,30
source_3-2153,dolo 500mg tab 1x15,source_3,False,14.95,14.2,micro labs ltd,Strip TABLET,paracetamol acetaminophen 500 mg,15.0,30
source_2-39583,dolo 500 tablet,source_2,True,14.95,12.26,micro labs ltd,Unknown,paracetamol 500mg,7.4,30
source_1-65082,dolo 500 tablet 10,source_1,False,10.0,8.8,micro labs ltd,Strip | Tablet,paracetamol 500mg,10.0,30
source_1-65083,dolo 500 tablet 15,source_1,False,14.5,12.8,micro labs ltd,Strip | Tablet,paracetamol 500mg,15.0,30
source_6-75721,dolo 650mg strip 10 tablet,source_6,False,22.61,19.9,micro labs,STRIP,paracetamol acetaminophen 650 0 mg,10.0,30
source_6-75722,dolo 650mg strip 15 tablet,source_6,False,33.76,29.71,micro labs,STRIP,paracetamol acetaminophen 650 0 mg,15.0,30
source_2-39584,dolo 650 tablet,source_2,False,33.6,27.55,micro labs ltd,Unknown,paracetamol 650mg,7.4,30
source_1-65084,dolo 650 tablet 15,source_1,False,33.5,29.5,micro labs ltd,Strip | Tablet,paracetamol 650mg,15.0,30
source_6-75723,dolo ampoule 2ml injection,source_6,True,9.8,9.8,micro labs,AMPOULE,paracetamol acetaminophen 150 0 mg,2.0,30
source_6-75724,dolo bottle 5ml drop,source_6,False,27.0,27.0,micro labs,BOTTLE,paracetamol acetaminophen 100 0 mg,5.0,30
source_6-75725,dolo cold 325 10 2 mg suspension 60 ml,source_6,True,54.45,46.28,micro labs,BOTTLE,phenylephrine 10 0 mg chlorpheniramine chlorphenamine 2 0 mg paracetamol acetaminophen 325 0 mg,60.0,30
source_6-75726,dolo cold 50 mg capsule sr 10,source_6,True,15.85,13.47,micro labs,STRIP,chlorpheniramine chlorphenamine 50 0 mg pseudoephedrine 50 0 mg paracetamol acetaminophen 50 0 mg,10.0,30
source_2-39585,dolo cold 500mg 30mg 10mg tablet,source_2,True,35.0,28.7,micro labs ltd,Unknown,paracetamol acetaminophen 500mg caffeine 30mg phen,17.4,30
source_6-75727,dolo cold adult nasal drop,source_6,True,40.83,35.93,micro labs,BOTTLE,xylometazoline,10.0,9
source_6-75728,dolo cold pead nasal drop,source_6,False,41.0,34.85,micro labs,BOTTLE,xylometazoline,10.0,9
